block,solver,A_name,q,sigma,instance_id,K,success,success_impute,success_single,success_single_impute,eps_success_impute,best_restart_id,best_error,best_error_full,best_score,single_restart_id,single_score,single_error,single_error_full,single_d_H,best_restart_id_symbolic,best_d_H,best_score_symbolic,bq_abs,spacing_y0,interior_sep_T1,minimax_lb_E_x,digital_regime
B,neural,A1,5,0.001,26,1,0,0,0,0,0.46543687432210207,24,1.9060600664170921,2.2380224390955346,0.00025943422224372625,24,0.00025943422224372625,1.9060600664170921,2.2380224390955346,0.4,24,0.4,0.00025943422224372625,55,0.01818181818181818,0.38181818181818183,1.1288864377335384,1
B,neural,A1,5,0.001,27,1,0,0,0,0,0.46543687432210207,21,1.066497218124009,2.1025958073561566,0.0006384906591847539,21,0.0006384906591847539,1.066497218124009,2.1025958073561566,1.0,21,1.0,0.0006384906591847539,55,0.01818181818181818,0.38181818181818183,1.1288864377335384,1
B,neural,A1,5,0.001,28,1,0,1,0,1,0.46543687432210207,0,0.24569746336176185,0.5241617898550874,0.00048320245696231723,0,0.00048320245696231723,0.24569746336176185,0.5241617898550874,0.8,0,0.8,0.00048320245696231723,55,0.01818181818181818,0.38181818181818183,1.1288864377335384,1
B,neural,A1,5,0.001,29,1,0,0,0,0,0.46543687432210207,21,1.9039338390657967,2.2302472091860754,0.0006343123386614025,21,0.0006343123386614025,1.9039338390657967,2.2302472091860754,0.8,21,0.8,0.0006343123386614025,55,0.01818181818181818,0.38181818181818183,1.1288864377335384,1
B,neural,A1,5,0.001,30,1,0,0,0,0,0.46543687432210207,44,1.9991334285290197,2.003370730570105,0.0003177134203724563,44,0.0003177134203724563,1.9991334285290197,2.003370730570105,0.8,44,0.8,0.0003177134203724563,55,0.01818181818181818,0.38181818181818183,1.1288864377335384,1
B,neural,A1,5,0.001,31,1,0,0,0,0,0.46543687432210207,8,0.982541594118271,1.9767733814371407,2.738565490290057e-05,8,2.738565490290057e-05,0.982541594118271,1.9767733814371407,0.8,8,0.8,2.738565490290057e-05,55,0.01818181818181818,0.38181818181818183,1.1288864377335384,1
B,neural,A1,5,0.001,32,1,0,1,0,1,0.46543687432210207,21,0.3478854223127211,0.7630282709410962,0.0007454811711795628,21,0.0007454811711795628,0.3478854223127211,0.7630282709410962,0.8,21,0.8,0.0007454811711795628,55,0.01818181818181818,0.38181818181818183,1.1288864377335384,1
B,neural,A1,5,0.001,33,1,0,0,0,0,0.46543687432210207,19,1.992593037874986,2.021267257089264,0.0001144735942943953,19,0.0001144735942943953,1.992593037874986,2.021267257089264,0.8,19,0.8,0.0001144735942943953,55,0.01818181818181818,0.38181818181818183,1.1288864377335384,1
B,neural,A1,5,0.001,34,1,0,0,0,0,0.46543687432210207,12,0.8827016347878123,1.812127330791323,0.0019963099621236324,12,0.0019963099621236324,0.8827016347878123,1.812127330791323,0.8,12,0.8,0.0019963099621236324,55,0.01818181818181818,0.38181818181818183,1.1288864377335384,1
B,neural,A1,5,0.001,35,1,0,0,0,0,0.46543687432210207,16,1.8221099565488132,2.366701176921508,0.00010125696280738339,16,0.00010125696280738339,1.8221099565488132,2.366701176921508,1.0,16,1.0,0.00010125696280738339,55,0.01818181818181818,0.38181818181818183,1.1288864377335384,1
