block,solver,A_name,q,sigma,K,P_success,P_success_impute,P_success_single,P_success_single_impute,eps_success_impute
A,newton,A3,4,0.0,16,0.1,0.95,0.0,0.25,0.3043807145043604
A,newton,A3,4,0.0,32,0.15,0.95,0.0,0.25,0.3043807145043604
A,newton,A3,4,0.0,64,0.35,1.0,0.0,0.25,0.3043807145043604
A,newton,A3,5,0.0,1,0.0,0.15,0.0,0.15,0.3043807145043604
A,newton,A3,5,0.0,2,0.0,0.3,0.0,0.15,0.3043807145043604
A,newton,A3,5,0.0,4,0.0,0.4,0.0,0.15,0.3043807145043604
A,newton,A3,5,0.0,8,0.0,0.65,0.0,0.15,0.3043807145043604
A,newton,A3,5,0.0,16,0.0,0.85,0.0,0.15,0.3043807145043604
A,newton,A3,5,0.0,32,0.0,0.95,0.0,0.15,0.3043807145043604
A,newton,A3,5,0.0,64,0.0,1.0,0.0,0.15,0.3043807145043604
A,newton,A3,6,0.0,1,0.0,0.1,0.0,0.1,0.3043807145043604
A,newton,A3,6,0.0,2,0.0,0.15,0.0,0.1,0.3043807145043604
A,newton,A3,6,0.0,4,0.0,0.25,0.0,0.1,0.3043807145043604
A,newton,A3,6,0.0,8,0.0,0.3,0.0,0.1,0.3043807145043604
A,newton,A3,6,0.0,16,0.0,0.85,0.0,0.1,0.3043807145043604
A,newton,A3,6,0.0,32,0.0,1.0,0.0,0.1,0.3043807145043604
A,newton,A3,6,0.0,64,0.0,1.0,0.0,0.1,0.3043807145043604
A,newton,A3,7,0.0,1,0.0,0.05,0.0,0.05,0.3043807145043604
A,newton,A3,7,0.0,2,0.0,0.1,0.0,0.05,0.3043807145043604
A,newton,A3,7,0.0,4,0.0,0.15,0.0,0.05,0.3043807145043604
A,newton,A3,7,0.0,8,0.0,0.25,0.0,0.05,0.3043807145043604
A,newton,A3,7,0.0,16,0.0,0.75,0.0,0.05,0.3043807145043604
A,newton,A3,7,0.0,32,0.0,0.95,0.0,0.05,0.3043807145043604
A,newton,A3,7,0.0,64,0.0,1.0,0.0,0.05,0.3043807145043604
A,newton,A3,8,0.0,1,0.0,0.1,0.0,0.1,0.3043807145043604
A,newton,A3,8,0.0,2,0.0,0.15,0.0,0.1,0.3043807145043604
A,newton,A3,8,0.0,4,0.0,0.3,0.0,0.1,0.3043807145043604
A,newton,A3,8,0.0,8,0.0,0.35,0.0,0.1,0.3043807145043604
A,newton,A3,8,0.0,16,0.0,0.7,0.0,0.1,0.3043807145043604
A,newton,A3,8,0.0,32,0.0,1.0,0.0,0.1,0.3043807145043604
A,newton,A3,8,0.0,64,0.0,1.0,0.0,0.1,0.3043807145043604
